City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
860,Mazagao,BR,87.8,few clouds,-0.12,-51.29,Casa Lima Santos
863,Lucea,JM,84.2,broken clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
864,Bogalusa,US,84.2,clear sky,30.79,-89.85,Traveler's Rest Motel
865,Nampula,MZ,75.2,clear sky,-15.12,39.27,Tacab Residencial
866,Wukari,NG,76.62,broken clouds,7.85,9.78,Elimtop
867,Anaco,VE,80.73,broken clouds,9.44,-64.47,SAIVEN MALL (SAIVEN C.A.)
883,Badnawar,IN,75.45,scattered clouds,23.02,75.22,Hotel Mrityunjay
884,Maragogi,BR,77.07,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
893,Eyl,SO,81.25,clear sky,7.98,49.82,Amiin Hotel
894,Pak Phanang,TH,79.59,moderate rain,8.35,100.2,Green Park Inn Hotel
899,Camapua,BR,81.23,broken clouds,-19.53,-54.04,Comercial Estrela
904,Salinopolis,BR,80.78,broken clouds,-0.61,-47.36,Hotel Salinópolis
907,Biltine,TD,84.51,few clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
910,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
916,Chirongui,YT,78.8,scattered clouds,-12.93,45.15,La Villa Mahatsara
930,Bangkalan,ID,79.95,overcast clouds,-7.05,112.74,SPOT ON 2591 Griya Demangan Syariah
933,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
939,Elizabeth City,US,78.8,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
940,Jacareacanga,BR,76.06,very heavy rain,-6.22,-57.75,Casa do Ian😎
941,Lake Jackson,US,84.2,scattered clouds,29.03,-95.43,Candlewood Suites Lake Jackson-Clute
943,Wajid,SO,76.39,light rain,3.81,43.25,Hotel Haji Aden Yare
945,Pundaguitan,PH,83.25,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
950,Coreau,BR,80.02,clear sky,-3.53,-40.66,LOJA E POUSADA CARCARÁ
954,Russell,US,82.4,broken clouds,32.35,-85.2,Macs
955,Axim,GH,78.01,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
958,Lamar,US,84.2,scattered clouds,33.67,-95.58,Kings Inn Paris TX
969,Sawakin,SD,80.38,clear sky,19.11,37.33,فندق الدويم
971,Micco,US,81.0,light rain,27.88,-80.5,Seashell Suites Resort
972,Santa Maria Da Boa Vista,BR,87.28,clear sky,-8.81,-39.83,Fênix Hotel e Restaurante
974,Tucupita,VE,83.79,heavy intensity rain,9.06,-62.05,Hotel Tucupita Su​ite C.A.
975,Diffa,NE,84.97,few clouds,13.32,12.61,ProDAF/Diffa
976,Wilmington,US,78.8,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
981,Kuala Sungai Baru,MY,77.0,light rain,2.36,102.04,Homestay Villa Suraiya Kuala Sungai Baru Melaka
982,Tomatlan,MX,84.69,broken clouds,19.93,-105.25,Norma franco
985,Vilhena,BR,80.85,broken clouds,-12.74,-60.15,Hotel Mirage
988,Dhulian,IN,77.52,scattered clouds,24.68,87.97,D.M BHABAN
989,San Ramon,US,90.0,clear sky,37.78,-121.98,San Ramon Marriott
995,Maun,BW,84.2,clear sky,-19.98,23.42,Enviro Villa
996,Sabang,ID,82.6,overcast clouds,5.89,95.32,Hotel Citra
999,Indramayu,ID,79.77,overcast clouds,-6.33,108.32,Grand Trisula Hotel
1004,Kattivakkam,IN,80.6,mist,13.22,80.32,St. Joseph Thirumana mandapam
1006,Morondava,MG,75.29,clear sky,-20.28,44.28,La Case Bambou
1010,Waingapu,ID,79.16,clear sky,-9.66,120.26,Pondok Wisata Elim
1014,Phan Thiet,VN,75.49,overcast clouds,10.93,108.1,Hotel Saigon-PT
1021,Kayankulam,IN,77.97,overcast clouds,9.18,76.5,Hotel Royal Indraprastha
1024,Nicoya,CR,80.6,broken clouds,10.15,-85.45,Guayacan Real
1029,Mitsamiouli,KM,80.04,clear sky,-11.38,43.28,Foyer ADM
1032,Nata,PA,82.4,scattered clouds,8.33,-80.52,Cabañas Estancia Bayamon
1036,Douentza,ML,89.04,clear sky,15.0,-2.95,Ogomono Doumbo
1037,Acoyapa,NI,80.38,light rain,11.97,-85.17,Hotel Los Robles
1039,The Valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
1040,Bandiagara,ML,80.6,clear sky,14.35,-3.61,Hotel de la Falaise
1043,Golden,US,75.0,broken clouds,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
1047,Sao Joao Dos Patos,BR,83.88,clear sky,-6.5,-43.7,HOTEL SÃO CRISTOVÃO
1049,Chor,PK,80.06,clear sky,25.52,69.77,Asad U Bajeer Hotel
1050,George Town,MY,78.8,few clouds,5.41,100.34,Cititel Penang
1052,Tete,MZ,84.2,few clouds,-16.16,33.59,Zambeze Paraíso Misterioso
1053,Chake Chake,TZ,76.68,clear sky,-5.25,39.77,Hotel Archipelago
1054,Nouakchott,MR,82.96,clear sky,18.09,-15.98,Hôtel Iman
1055,Lexington,US,77.0,broken clouds,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
1058,Baculin,PH,79.68,overcast clouds,7.45,126.58,Shovy's Cove
1063,Waspan,NI,83.86,light rain,14.74,-83.97,Hostal casa de la rose
1064,La Palma,US,77.0,haze,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
1067,Noumea,NC,80.01,clear sky,-22.28,166.46,Hôtel Le Lagon
1069,Ramos Arizpe,MX,80.6,clear sky,25.55,-100.97,Mario's Inn
