City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Jinchang,CN,38.5,102.17,42.75,53,0,4.16,clear sky
268,Chumikan,RU,54.72,135.31,38.98,92,100,12.53,light rain
269,Araouane,ML,18.9,-3.53,88.41,16,0,6.2,clear sky
270,Kieta,PG,-6.22,155.63,83.23,72,50,4.92,light rain
271,Pisco,PE,-13.7,-76.22,68.0,64,1,23.04,clear sky
272,Vanavara,RU,60.34,102.28,31.75,98,100,8.95,overcast clouds
273,Awbari,LY,26.59,12.78,74.75,34,0,9.33,clear sky
274,Pierre,US,44.37,-100.35,33.01,92,90,10.29,mist
275,Saint George,US,37.1,-113.58,82.99,10,1,3.36,clear sky
276,Port Lavaca,US,28.61,-96.63,86.0,62,1,18.34,clear sky
277,Kinsale,IE,51.71,-8.53,44.6,87,20,5.82,few clouds
278,Coquimbo,CL,-29.95,-71.34,59.0,72,20,12.75,few clouds
279,Kiruna,SE,67.86,20.23,21.2,92,100,3.36,light snow
280,Abbeville,FR,50.1,1.83,57.0,76,36,11.9,scattered clouds
281,Aketi,CD,2.74,23.78,71.89,93,100,1.74,light rain
282,Merauke,ID,-8.47,140.33,78.1,83,48,10.85,scattered clouds
283,Tasiilaq,GL,65.61,-37.64,28.4,86,100,3.36,overcast clouds
284,Walvis Bay,NA,-22.96,14.51,61.0,77,94,12.75,overcast clouds
285,Taywarah,AF,33.35,64.42,29.79,75,0,5.37,clear sky
286,Dikson,RU,73.51,80.55,23.23,95,94,10.94,overcast clouds
287,Turayf,SA,31.67,38.66,64.4,34,0,4.7,clear sky
288,Maningrida,AU,-12.07,134.27,79.97,73,74,4.68,broken clouds
289,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,77.41,84,1,9.08,clear sky
290,Florida,US,28.75,-82.5,82.4,69,75,6.93,broken clouds
291,Kloulklubed,PW,7.04,134.26,77.0,83,90,14.99,light rain
292,Buala,SB,-8.14,159.59,82.42,74,98,8.32,moderate rain
293,Awka,NG,6.21,7.07,76.28,87,64,2.75,broken clouds
294,Merin,CZ,49.39,15.88,44.01,100,29,3.0,scattered clouds
295,Sorland,NO,67.67,12.69,38.84,72,86,14.88,overcast clouds
296,Portland,US,45.52,-122.68,60.01,54,40,10.29,scattered clouds
297,Pimentel,PE,-6.84,-79.93,64.98,80,57,16.55,broken clouds
298,Murray Bridge,AU,-35.12,139.27,55.99,99,86,1.68,light rain
299,Great Falls,US,47.5,-111.3,28.99,79,90,18.34,overcast clouds
300,Charkhi Dadri,IN,28.6,76.27,77.54,18,44,3.94,scattered clouds
301,Tilichiki,RU,60.47,166.1,38.03,95,100,6.6,light rain
302,Champerico,GT,14.3,-91.92,87.8,74,75,6.93,thunderstorm with light rain
303,Mnogovershinnyy,RU,53.94,139.92,37.74,88,100,3.91,overcast clouds
304,Saldanha,ZA,-33.01,17.94,53.6,81,0,9.17,clear sky
305,Puri,IN,19.8,85.85,77.0,100,75,8.05,heavy intensity rain
306,Adana,TR,36.98,35.29,69.8,88,0,6.93,clear sky
307,Yar-Sale,RU,66.83,70.83,19.18,97,98,13.09,overcast clouds
308,Burnie,AU,-41.07,145.92,54.61,73,71,7.67,broken clouds
309,Nastola,FI,60.95,25.93,42.8,93,90,11.41,overcast clouds
310,Kraslava,LV,55.9,27.17,44.15,95,100,6.42,overcast clouds
311,Shadrinsk,RU,56.09,63.63,31.19,96,20,6.33,few clouds
